device_id,num_io,read_count,write_count
10,2756726994,2753756122,2970872
4,1576134095,1484549,1574649546
38,1053506060,136,1053505924
225,804089627,7640775,796448852
679,723159749,13156,723146593
277,593993603,22487,593971116
124,525839189,498775703,27063486
740,517810046,114310631,403499415
206,465536755,411724036,53812719
144,392737034,7059908,385677126
58,382696171,6851118,375845053
79,377423483,19893750,357529733
177,361717173,17110211,344606962
141,351088635,4388196,346700439
107,344170131,4334521,339835610
178,319466387,3619542,315846845
52,296846460,3085087,293761373
804,295920923,248356764,47564159
7,265694431,12276532,253417899
40,264596771,12257418,252339353
121,194473022,152572093,41900929
810,177037905,124048374,52989531
32,164231123,11023031,153208092
228,104498731,17879,104480852
188,104284128,68505591,35778537
256,97851060,96,97850964
148,92614642,2748,92611894
293,86034709,432184,85602525
262,78873687,397574,78476113
181,77288995,443013,76845982
68,75580727,493186,75087541
336,57761536,351802,57409734
631,57648158,10,57648148
276,51618793,314649,51304144
207,51475941,30918590,20557351
92,47472333,10577877,36894456
12,46269497,32148845,14120652
195,45915347,215,45915132
54,44738697,4171,44734526
295,44708183,9048971,35659212
721,44454805,5418177,39036628
131,44238211,8977252,35260959
251,43506628,8230988,35275640
391,42208686,65371,42143315
46,41723415,6327296,35396119
49,40886730,21225231,19661499
174,40118664,4464745,35653919
30,39965300,4448012,35517288
239,39839861,4373863,35465998
466,39386135,1923940,37462195
66,39223872,3789120,35434752
507,38843592,4136381,34707211
33,38646657,2524995,36121662
161,38528804,3418628,35110176
91,38404097,2906792,35497305
173,37822559,2589785,35232774
76,37813518,2547660,35265858
72,37741837,2184642,35557195
147,37731973,1959592,35772381
190,37670726,2363,37668363
115,37668970,2377765,35291205
727,37552022,25671489,11880533
241,37542392,9306,37533086
157,37519541,2350065,35169476
8,37490499,2448105,35042394
78,37419536,1858726,35560810
62,37214794,2091940,35122854
86,37176561,2894303,34282258
24,37176282,2235528,34940754
23,36946192,19300,36926892
135,36812678,24492,36788186
154,36481805,4681269,31800536
48,36311051,1912269,34398782
88,36174092,365318,35808774
87,36032778,1109487,34923291
19,35895603,1730654,34164949
113,35849172,1853412,33995760
83,35758970,303267,35455703
192,35611239,23825,35587414
219,35607447,71210,35536237
236,35574108,198028,35376080
56,35391962,212423,35179539
193,34509267,138523,34370744
128,34339341,25394,34313947
435,34043890,66,34043824
21,33120813,124,33120689
651,32140341,57,32140284
77,30894112,3217432,27676680
311,30239365,1958183,28281182
263,29939903,1702,29938201
332,28143648,1605569,26538079
289,27569263,557731,27011532
234,26456610,9032,26447578
283,26375480,2479670,23895810
2,25735856,5355746,20380110
522,25569195,27172,25542023
137,25464607,2,25464605
746,25023536,1082928,23940608
354,24488853,585969,23902884
117,24201003,12299025,11901978
3,23965494,12500178,11465316
247,23538402,653529,22884873
335,23210358,7727,23202631
9,22682239,266671,22415568
5,22478191,20444,22457747
1,22462800,16170,22446630
402,22454393,15738,22438655
163,22450813,21835,22428978
69,22446129,16902,22429227
509,22444798,15333,22429465
513,22441237,14093,22427144
327,22410722,14269,22396453
556,22407834,17614,22390220
399,22405928,13700,22392228
663,22375365,19790,22355575
259,22091561,112929,21978632
126,21974016,29,21973987
