device_id,num_io,read_count,write_count,ts_max,ts_min,duration,avg_offset,avg_size,write_percentage,read_percentage
10,2756726994,2753756122,2970872,1580486399951423,1.57781E+15,2678399949883,20570837779,4545.275662,0.00107768089,0.9989223191
4,1576134095,1484549,1574649546,1580486399942127,1577808000000573,2678399941554,276008672341,5086.660693,0.9990581074,0.0009418925742
38,1053506060,136,1053505924,1580486399999404,1577808000008017,2678399991387,18151760183,14243.54658,0.9999998709,0.0000001290927553
225,804089627,7640775,796448852,1580486399773041,1577808000257702,2678399515339,236788776112,48689.49759,0.9904976078,0.0095023922
679,723159749,13156,723146593,1580486398207518,1577808001841844,2678396365674,13497806695,14504.93163,0.9999818076,0.00001819238421
277,593993603,22487,593971116,1580486398590439,1577808000441977,2678398148462,16675877390,22257.65813,0.9999621427,0.00003785731006
124,525839189,498775703,27063486,1580486399999629,1577808000088903,2678399910726,134411943890,37022.32798,0.05146722908,0.9485327709
740,517810046,114310631,403499415,1580486398943124,1577808003438267,2678395504857,72887209193,17981.10593,0.7792421528,0.2207578472
206,465536755,411724036,53812719,1580486398545012,1577808000219996,2678398325016,19877786099,124597.9391,0.1155928472,0.8844071528
144,392737034,7059908,385677126,1580486399989623,1577808000118738,2678399870885,256997068215,92499.75589,0.9820238292,0.01797617079
58,382696171,6851118,375845053,1580486399981385,1577808000015875,2678399965510,317945262360,93522.70604,0.9820977618,0.01790223817
79,377423483,19893750,357529733,1580486399995039,1577808000033127,2678399961912,151205487420,12846.99562,0.9472906406,0.05270935937
177,361717173,17110211,344606962,1580486399968252,1577808000165516,2678399802736,56498160457,25303.44917,0.9526972666,0.0473027334
141,351088635,4388196,346700439,1580486399997721,1577808000112128,2678399885593,280792090894,85352.43601,0.9875011733,0.01249882669
107,344170131,4334521,339835610,1580486399961423,1577808000067726,2678399893697,264445234600,82526.45736,0.9874058769,0.01259412311
178,319466387,3619542,315846845,1580486399825179,1577808000165663,2678399659516,228030456610,78287.32691,0.9886700381,0.01132996192
52,296846460,3085087,293761373,1580486399890942,1.57781E+15,2678399876902,234908893770,74060.16783,0.9896071289,0.01039287112
804,295920923,248356764,47564159,1580486399999982,1577812572764421,2673827235561,585568102562,113567.4726,0.1607326664,0.8392673336
7,265694431,12276532,253417899,1580486395998959,1577808000001092,2678395997867,206822282247,9187.586091,0.9537945453,0.04620545472
40,264596771,12257418,252339353,1580486397535228,1577808000009239,2678397525989,212537436654,9185.540458,0.9536751036,0.04632489638
121,194473022,152572093,41900929,1580486399969166,1577808000086764,2678399882402,20841927283,18312.91902,0.215458826,0.784541174
810,177037905,124048374,52989531,1.58049E+15,1577827797897218,2658600172862,577582169392,126906.1953,0.299311783,0.700688217
32,164231123,11023031,153208092,1580486399426151,1577808000006661,2678399419490,287688892714,55289.18205,0.9328809863,0.06711901373
228,104498731,17879,104480852,1580486394987735,1577808000279709,2678394708026,10463660942,8655.804335,0.999828907,0.0001710929868
188,104284128,68505591,35778537,1580486399998214,1577808000183842,2678399814372,23039973716,14688.78962,0.3430870803,0.6569129197
256,97851060,96,97850964,1580486399946447,1577808000371834,2678399574613,37045150228,13298.58368,0.9999990189,0.0000009810828825
148,92614642,2748,92611894,1580486399939432,1.57781E+15,2678399818892,22321508953,8800.455003,0.9999703287,0.00002967133426
293,86034709,432184,85602525,1580486397176069,1577808000500604,2678396675465,48131256368,16354.41286,0.994976632,0.005023367953
262,78873687,397574,78476113,1580486398878338,1577808000385002,2678398493336,51386169456,5102.501817,0.9949593582,0.005040641754
181,77288995,443013,76845982,1580486399093537,1577808000168616,2678398924921,36313890736,5106.544407,0.9942680973,0.005731902711
68,75580727,493186,75087541,1580486399182124,1.57781E+15,2678399155184,20564511367,5174.26927,0.9934747121,0.006525287855
336,57761536,351802,57409734,1580486399578968,1577808000745711,2678398833257,40948421400,5379.060998,0.9939094071,0.006090592882
631,57648158,10,57648148,1580486399471861,1577808001707109,2678397764752,110762724449,13217.89788,0.9999998265,0.0000001734660802
276,51618793,314649,51304144,1580486398654038,1.57781E+15,2678398213578,20018192793,9191.482363,0.9939043712,0.006095628776
207,51475941,30918590,20557351,1580486399260584,1577808000221945,2678399038639,2500245758853,210092.6061,0.3993584304,0.6006415696
92,47472333,10577877,36894456,1580486399920127,1.57781E+15,2678399864667,17117026639,9557.091485,0.7771780671,0.2228219329
12,46269497,32148845,14120652,1580486399979946,1577808000001898,2678399978048,259691174792,39282.62629,0.3051827427,0.6948172573
195,45915347,215,45915132,1580486398538416,1577808000198084,2678398340332,92558549664,6402.212199,0.9999953175,0.000004682530222
54,44738697,4171,44734526,1580486398921183,1577808000015015,2678398906168,21493672231,11851.3492,0.9999067697,0.0000932302521
295,44708183,9048971,35659212,1.58049E+15,1577808000506514,2678399459046,24744081160,9418.763378,0.7975992225,0.2024007775
721,44454805,5418177,39036628,1580486398121995,1577808002156264,2678395965731,54497271451,166496.8286,0.8781194294,0.1218805706
131,44238211,8977252,35260959,1.58049E+15,1577808000102538,2678399894742,17643340520,9521.917951,0.7970701844,0.2029298156
251,43506628,8230988,35275640,1580486399938992,1577808000360234,2678399578758,24347541716,9340.078313,0.8108107114,0.1891892886
391,42208686,65371,42143315,1580486399291763,1577808001080351,2678398211412,79678595545,38654.04193,0.998451243,0.00154875705
46,41723415,6327296,35396119,1580486399818899,1.57781E+15,2678399808029,23434585335,8854.376879,0.8483514353,0.1516485647
49,40886730,21225231,19661499,1580486398648759,1577808000012488,2678398636271,22486962968,32477.48615,0.4808772675,0.5191227325
174,40118664,4464745,35653919,1580486399980707,1577808000159509,2678399821198,25489388874,8468.18996,0.8887115234,0.1112884766
30,39965300,4448012,35517288,1580486399992444,1577808000004964,2678399987480,22320826977,8434.123284,0.88870315,0.11129685
239,39839861,4373863,35465998,1580486399962506,1577808000322428,2678399640078,27446981804,8478.067633,0.8902138991,0.1097861009
466,39386135,1923940,37462195,1580486399149114,1577808001240702,2678397908412,58665706006,27655.96097,0.9511518457,0.04884815431
66,39223872,3789120,35434752,1580486399966177,1577808000026474,2678399939703,26038958150,8320.017126,0.9033976044,0.0966023956
507,38843592,4136381,34707211,1580486399149568,1577808001339417,2678397810151,113283950956,25580.22713,0.8935118822,0.1064881178
33,38646657,2524995,36121662,1580486399808139,1577808000006771,2678399801368,14399220581,7856.511232,0.9346645947,0.06533540534
161,38528804,3418628,35110176,1580486399758459,1577808000130552,2678399627907,14324841441,8106.915795,0.9112708508,0.08872914924
91,38404097,2906792,35497305,1580486399831043,1577808000052426,2678399778617,19681792472,7955.604742,0.9243103672,0.0756896328
173,37822559,2589785,35232774,1580486399570068,1577808000157833,2678399412235,27281206848,7999.654479,0.9315280333,0.06847196669
76,37813518,2547660,35265858,1580486399775069,1577808000031978,2678399743091,15142384657,7812.536086,0.9326256816,0.06737431836
72,37741837,2184642,35557195,1580486399878875,1577808000029822,2678399849053,23279044375,7768.617609,0.942116172,0.05788382797
147,37731973,1959592,35772381,1580486399783437,1577808000120136,2678399663301,16749677359,7645.307796,0.9480654775,0.05193452248
190,37670726,2363,37668363,1580486398764143,1577808000186085,2678398578058,54599632164,14010.8727,0.9999372722,0.00006272775311
115,37668970,2377765,35291205,1580486399943189,1.57781E+15,2678399865379,22499103274,7854.728074,0.9368773556,0.06312264445
727,37552022,25671489,11880533,1580486391648031,1577808002659979,2678388988052,267992907623,34903.63321,0.3163753206,0.6836246794
241,37542392,9306,37533086,1580486399047266,1577808000323707,2678398723559,46891952014,6640.261735,0.9997521202,0.0002478797835
157,37519541,2350065,35169476,1580486399837225,1577808000128153,2678399709072,16084709580,7835.475192,0.9373642391,0.06263576092
