volume,count
1282,654781000
1360,555522089
1488,544224840
1063,360960512
1326,349295602
1548,323267523
8154,315543598
6835,230819468
1418,222866060
1351,195824302
8610,188982398
1458,187383070
3841,177435425
3580,172914234
1533,170446544
2982,169624719
8526,159902973
1125,158176903
3810,151708730
1163,149653360
7315,149044977
5512,147205389
18133,146471961
1609,137845862
1730,129624110
9850,128729025
4786,125221115
2583,116501488
4927,114262496
11609,107427136
10116,106061494
1625,103568618
2754,102044717
5592,101684005
3342,100086697
2313,98013165
6410,96532648
1194,93989835
8970,89902675
13931,89881384
3557,88286209
1394,88285723
1164,87769646
14591,86987154
2079,85128825
18292,82696878
10992,82478700
22923,79152382
1468,78202289
12455,76740251
1344,72530535
5048,71339462
1084,69192245
1243,69127706
13494,68526267
1121,67764246
1999,63604671
4111,62548699
3900,61851829
5002,61749082
2308,61432220
6343,61125418
1205,60998227
5927,60987140
15804,60738968
7568,60637391
9476,60543701
17837,60329543
2376,60202760
21564,59644046
9915,59601409
4246,59376565
10476,59164367
9440,58050592
10512,58001065
3104,57982358
1707,57743163
20052,57558526
5374,57504545
1933,57097820
4335,57053772
16918,56997689
6814,56981299
4091,56941567
21054,56928890
2109,56844956
5242,56775713
5372,56676063
11569,56534967
1152,56489883
21346,56456554
12461,56352687
2219,56215893
13198,56209898
12704,55860119
10163,55679716
15812,55567329
9378,55357096
11577,55325107
4287,55292400
5334,55045945
1802,54971780
12075,54745015
1479,54583265
13786,54573871
7519,54552694
6524,54323951
13349,54062797
3768,53971437
3443,53882141
3708,53465069
1498,53364702
2075,53308802
3135,53307484
6063,52801374
10564,52757247
17513,52688825
3906,52617733
2067,52039248
13811,52024841
4377,52013869
6554,51838889
13439,51796778
4828,51651630
5710,51505348
20400,51274799
14833,51143932
11784,51008148
13286,50856830
11933,50851711
3027,50848776
9372,50772149
11648,50562232
3886,50146804
8039,49865814
3915,49852176
11549,49807957
12973,49690216
5390,49687289
2932,49574281
8420,49526846
16357,49437348
2017,49361087
2216,49119671
6234,49094397
7378,48753372
22696,48691052
14207,48689259
7015,48672498
1525,48530611
1475,48021127
13435,47899731
9194,47713223
15138,47472325
12217,47341659
11013,46988003
3994,46858197
2337,46746367
1586,46707772
20128,46512102
8809,46327791
12726,46286678
1662,46078506
1765,46049697
3021,45909002
13057,45286035
19985,45254619
3109,45155228
1552,45021792
4116,45020916
3678,44961056
1699,44738801
3265,44522022
2690,44305975
3699,44084830
10012,44013327
16023,43909806
7028,43731791
5565,43392188
8043,43149882
3353,43088563
11615,43086846
3548,42930663
15910,42911847
5351,42823122
10226,42655510
11634,42632992
3963,42357693
14895,42197619
12695,42106684
16065,42091500
11669,41751825
5631,41725493
2627,41465886
6892,41171345
5526,41074916
4385,40904625
1505,40846518
12309,40758568
8608,40554758
24190,40368213
7696,40196997
8937,39709499
1261,39609131
9855,39356966
5513,39252453
3879,39080050
4145,38518283
9278,38492021
3300,38391481
1437,38244751
1252,38210967
21025,37962624
4741,37859399
20398,37740774
5747,37522300
5473,37307337
22164,37097906
1976,36849972
7552,36643365
7709,36405599
19728,35298668
17606,35091233
6362,35084435
7101,35043139
4514,34922142
1497,34628667
2275,34535201
13069,34237206
2212,33935177
3495,33414052
8077,33364584
1670,32521344
3240,32443969
2115,32077502
14762,31829996
9884,31755791
1214,31700668
10927,31566114
17644,31330054
16530,30919593
5046,30350820
2362,30340926
12908,30010459
6378,29732659
2230,29603965
3084,28730015
2030,28615263
1069,27690692
7449,27674862
5369,26845198
2386,26322707
8927,26295908
16433,26122017
20699,26074680
10171,25984238
3944,25965545
5398,25918522
12430,25809410
10370,25380062
20979,25317691
5296,25305074
3806,25130279
13604,24760990
23429,24597750
2911,24461153
1108,24387350
4183,24341352
1566,24242910
4838,24213627
3801,23854768
5099,23783484
1148,23723310
3246,23701633
9863,23662777
6342,23604796
8825,23558303
1293,23551520
19430,23508842
25669,23473948
1655,23145989
2771,22902640
9324,22731447
3561,22544816
3762,21787602
2127,21783253
14261,21771628
7255,21537936
23274,21413066
1273,21127418
1753,21032365
4284,20755248
4523,20710760
18464,20495017
5519,20383931
10100,20383758
6327,20327474
8749,20269661
11961,20029317
12200,19686782
7802,19655429
7584,19508754
4818,19472462
4235,19257092
20944,19028117
1201,19019891
2009,18918362
13039,18857409
15549,18761803
6528,18755784
20627,18611633
10375,18553958
23014,18539056
2177,18463243
9673,18460742
20859,18318102
14114,18296875
11314,18285824
8281,17931185
5318,17918875
8363,17802135
6918,17667173
1557,17650407
16546,17638175
5130,17512909
9969,17200627
2685,16938113
8673,16815371
19202,16602829
10364,16602828
1632,16587198
3367,16580098
21908,16551305
10971,16520697
7160,16514846
10001,16242842
2063,16209852
9581,16122060
1182,16024596
2286,15907007
6627,15864763
1757,15848477
9327,15757921
3218,15711859
4323,15651161
6851,15580520
20276,15512339
5388,15485033
4332,15438386
7243,15431885
3535,15397858
13270,15380283
4883,15326726
1627,15314964
17389,15218993
4361,15078415
2761,15062439
1407,15046896
10568,15006819
12963,15000762
5560,14911126
1383,14847682
17114,14782642
15538,14703596
12548,14654678
7683,14628726
23689,14503139
18304,14420190
4445,14384775
13167,14365368
21042,14338531
16739,14321392
13201,14298275
14839,14197036
12300,14188478
14420,14185875
3310,14102489
7496,14089011
3858,14019103
8229,14014081
16517,14013156
1191,13922177
12778,13872559
3385,13776372
4162,13711485
3964,13625211
2520,13523251
10348,13519457
1633,13454932
18926,13421482
1679,13391438
9551,13210276
9663,13160389
5858,13126312
6591,12956376
12447,12954151
23871,12922284
5206,12898050
24043,12868906
8152,12842706
18417,12830905
10905,12821027
17226,12767357
23479,12757218
20067,12746644
23525,12662918
12167,12604769
14002,12588320
12232,12543476
22734,12527469
21778,12481067
21765,12450481
20906,12450304
23530,12450041
20246,12450020
18328,12449972
24079,12449670
23222,12449036
23944,12448943
1830,12433404
8776,12395906
3113,12374586
17813,12369027
25402,12355175
1296,12303208
8714,12299695
9655,12194267
8932,11975789
18215,11912063
12393,11907125
16032,11901413
4833,11901299
9453,11855292
7510,11850908
10857,11840019
1894,11661331
2228,11648530
7782,11500021
3484,11495497
14248,11417024
5359,11371348
4507,11331638
2356,11212284
7555,11209797
7327,11184753
8353,11145451
2154,11143525
13789,11138717
3229,11130122
11673,11114116
4124,11110057
19260,11090628
15678,11051698
21993,11037877
4393,11035680
2195,11021127
19406,10997447
15861,10933307
6370,10905206
15957,10897091
6132,10876754
10429,10831771
5229,10810402
19220,10788058
5735,10779207
5066,10774843
15175,10758069
10799,10757274
19265,10752569
11656,10747118
10635,10741906
15481,10734897
10134,10725426
11034,10706139
10000,10684795
6579,10681212
7116,10675331
4304,10671323
2706,10659334
20832,10599335
17010,10595455
23638,10575768
7732,10575628
13429,10571420
24073,10565656
9193,10530803
20996,10505098
23894,10486426
23128,10479963
4693,10478651
18797,10476638
17173,10476500
8486,10473113
20252,10461117
22839,10460169
11887,10443736
19623,10432140
2024,10431974
1441,10397219
24099,10387157
14067,10364967
11858,10364152
7741,10363158
4019,10335860
12603,10316565
1682,10283408
7312,10258328
17013,10257045
2438,10250987
6676,10227215
7997,10176547
16206,10171198
3304,10171115
19271,10157064
1688,10127448
18610,10114437
9240,10087874
18727,10087143
9118,10048684
16788,10033636
4651,10005388
2693,9999255
1666,9991341
5732,9980890
18427,9974925
25476,9950670
12311,9949573
7758,9906269
2534,9848142
14863,9840788
5034,9826188
16639,9820230
7602,9795568
22284,9787884
6510,9780789
3145,9760086
2878,9734672
18654,9734335
24332,9723009
8069,9711446
8448,9702712
9141,9676960
1780,9676228
4467,9674131
4801,9656111
12132,9649281
6164,9644221
21276,9620076
11439,9618131
21805,9614566
5178,9580993
6357,9579907
18638,9540367
3204,9540350
6065,9504991
15431,9468424
20568,9457277
3566,9453608
12753,9435829
1400,9412377
6383,9405296
1639,9404935
1791,9391700
5393,9363583
9925,9353430
6923,9277725
15421,9250912
7422,9234203
7131,9229317
4642,9207976
23230,9192714
22428,9177618
8933,9167546
7828,9156933
7482,9145006
1268,9099976
1900,9099111
11301,9092222
12525,9091580
19792,9088887
5673,9081294
